line_sign_name,line_number,company_name,region_id
771P-10,506,TRANSPPASS,0
3721-10,1019,Pessego,0
3741-10,33809,PESSEGO TRANSPORTES LTDA,4
8700-10,34645,TRANSPPASS,0
8022-10,2085,VIACAO GATO PRETO LTDA.,8
3718-10,33781,PESSEGO TRANSPORTES LTDA,4
6960-10,34211,VIACAO GRAJAU,0
8015-10,34113,SPENCER TRANSPORTE RODOVIARIO LTDA,1
5131-10,34050,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
4031-10,33869,MOVEBUSS,0
746P-10,788,AUTO VIACAO TRANSCAP LTDA,8
917M-10,34134,VIACAO GATO PRETO LTDA.,1
374V-10,34415,ALLIBUS TRANSPORTES LTDA,4
351F-10,33455,SAMBAIBA,0
695H-10,33964,VIACAO GRAJAU,0
6016-41,34474,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
273N-10,33158,VIACAO METROPOLE,0
5142-10,34394,VIA SUDESTE,0
3722-10,33788,PESSEGO TRANSPORTES LTDA,4
4310-10,34928,VIACAO METROPOLE,0
189L-10,2450,SANTA BRIGIDA,0
2590-10,33680,TRANSUNIAO,0
7052-10,34654,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
846M-10,33190,SANTA BRIGIDA,0
2666-10,33146,VIACAO METROPOLE PAULISTA S.A.,3
8686-10,446,SANTA BRIGIDA,0
7054-10,41,TRANSWOLFF TRANSPORTES E TURISMO LTDA,7
5154-10,353,GATUSA,0
3789-10,1067,Pessego,0
5391-10,171,VIACAO METROPOLE,0
4017-10,34958,EXPRESS,0
3020-10,33726,PESSEGO TRANSPORTES LTDA,4
5028-10,34402,VIA SUDESTE TRANSPORTES S.A.,5
273G-10,32991,VIACAO METROPOLE,0
778J-10,33276,TRANSPPASS TRANSPORTE DE PASSAGEIROS LTDA.,8
6042-10,1219,Transwolff,0
5178-10,33363,MOBIBRASIL,0
6836-10,13,CAMPO BELO,0
407P-10,34968,EXPRESS,0
477P-10,348,VIA SUDESTE,0
407J-10,34966,EXPRESS,0
407G-10,34964,EXPRESS,0
5611-10,33366,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
3902-10,1470,VIACAO METROPOLE,0
5038-10,34429,VIA SUDESTE,0
172P-10,33626,Norte Buss S.A.,0
978A-10,1369,GATO PRETO,0
7272-10,1333,VIACAO GATO PRETO LTDA.,8
1017-10,2141,Spencer,0
3728-10,1025,Pessego,0
8003-10,34021,SANTA BRIGIDA,0
4093-10,2448,UPBUS QUALIDADE EM TRANSPORTES S.A.,3
211L-10,35033,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
2019-10,905,UPBUS S.A.,0
7002-10,772,ALFA RODOBUS,0
9162-10,34133,VIACAO GATO PRETO LTDA.,1
609F-10,37,CAMPO BELO,0
8528-10,575,SANTA BRIGIDA,0
2080-10,33139,VIACAO METROPOLE,0
5011-10,33883,A2 Transportes,0
1024-10,35070,Spencer,0
407Y-10,2206,EXPRESS TRANSPORTES URBANOS LTDA.,4
2722-10,33703,ALLIBUS TRANSPORTES LTDA,4
